City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,maymyo,MM,72.77,overcast clouds,22.0333,96.4667,Tiger Hotel
428,nouakchott,MR,74.16,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
430,qrendi,MT,81.1,clear sky,35.8347,14.4583,M'Anglu
431,surt,LY,78.89,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
432,bela,IN,85.3,overcast clouds,25.9333,81.9833,Raj Bhawan
433,srandakan,ID,82.6,broken clouds,-7.9386,110.2506,Puri Brata
435,sohbatpur,PK,95.47,broken clouds,28.5202,68.5434,Allu Hotel
437,bambous virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
438,takoradi,GH,76.3,overcast clouds,4.8845,-1.7554,Raybow International Hotel
439,salinopolis,BR,77.86,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
440,aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
441,champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
444,saint-alexandre,FR,70.3,clear sky,44.2278,4.6214,Hôtel Le Valaurie
445,komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,Ikathouse
447,la palma,US,89.35,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
449,warri,NG,72.91,overcast clouds,5.5167,5.75,BON Hotel Delta
451,zeya,RU,69.55,overcast clouds,53.75,127.2667,Kapital Inn
455,guerrero negro,MX,70.0,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
456,manadhoo,MV,82.67,overcast clouds,5.7667,73.3833,Vevu Guesthouse
458,kapit,MY,94.46,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
459,felnac,RO,73.29,clear sky,46.1167,21.15,Casa Nichifor
461,hue,VN,98.71,few clouds,16.4667,107.6,Saigon Morin Hotel
462,bardiyah,LY,77.63,clear sky,31.7561,25.0865,بورتو بردية
470,sheridan,US,82.58,clear sky,44.8333,-106.9173,Comfort Inn & Suites
471,cobija,BO,66.4,clear sky,-11.0267,-68.7692,Hotel Obelisco
472,araripina,BR,73.36,overcast clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
473,bonfim,BR,75.0,overcast clouds,3.0833,-59.95,
474,manturovo,RU,62.8,broken clouds,58.3353,44.7619,ProstoХостел
475,nhulunbuy,AU,86.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
476,masalli,KR,89.28,broken clouds,34.7959,126.6553,영암펜션
477,gokul,IN,85.01,overcast clouds,27.45,77.7167,OYO 12065 Hotel Raj Palace
478,mount pleasant,US,80.01,mist,32.7941,-79.8626,Best Western Patriots Point
479,atasu,KZ,72.59,overcast clouds,48.6814,71.6433,Dostyk
481,ballina,AU,75.38,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
482,liberal,US,84.34,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
486,toropets,RU,63.88,scattered clouds,56.4978,31.6353,Toropa
487,puerto escondido,MX,79.27,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
488,schenectady,US,62.62,few clouds,42.8334,-74.0829,Frosty Acres Campground
489,aykhal,RU,80.51,clear sky,66.0,111.5,
490,shahr-e babak,IR,78.33,broken clouds,30.1165,55.1186,Duna Ecolodge
491,potiskum,NG,70.23,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
492,chicama,PE,66.33,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
493,lashio,MM,72.21,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
494,singkang,MY,84.09,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
495,denpasar,ID,82.06,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
496,mayumba,GA,69.78,clear sky,-3.432,10.6554,LIKWALE LODGE
497,westport,US,72.99,clear sky,41.1415,-73.3579,The Westport Inn
